"","Measure","Pathogen","Disease","Agegroup","Source","median","5%","95%"
"194","Cases","Norovirus","Initial","5-64","Shellfish",176574.501965791,48310.7290763045,361521.130371452
"195","Cases","Norovirus","Initial","5-64","Vegetables",33721.1163109002,8890.43577083203,76384.1524995988
"196","Cases","Norovirus","Initial","5-64","AllFood",255314.046357217,69800.8930272033,522526.558490076
"197","Cases","Norovirus","Initial","65+","Beef",0,0,0
"198","Cases","Norovirus","Initial","65+","Dairy",0,0,0
"199","Cases","Norovirus","Initial","65+","Eggs",0,0,0
"200","Cases","Norovirus","Initial","65+","Fin fish",205.050558718572,54.1117610204425,470.981282856881
"201","Cases","Norovirus","Initial","65+","Fruit",3638.87828452936,939.854812429942,8676.10779686497
"202","Cases","Norovirus","Initial","65+","Lamb",0,0,0
"203","Cases","Norovirus","Initial","65+","Nuts",0,0,0
"204","Cases","Norovirus","Initial","65+","Other",3742.23090491649,1003.97649576584,8173.66915954708
"205","Cases","Norovirus","Initial","65+","Pork",0,0,0
"206","Cases","Norovirus","Initial","65+","Poultry",0,0,0
"207","Cases","Norovirus","Initial","65+","Seeds and grains",0,0,0
"208","Cases","Norovirus","Initial","65+","Shellfish",36088.6909272843,9873.85466585822,73888.4957477351
"209","Cases","Norovirus","Initial","65+","Vegetables",6891.9970364852,1817.04711139204,15611.5636210863
"210","Cases","Norovirus","Initial","65+","AllFood",52181.6548018071,14266.0623525089,106795.144603037
"211","Cases","STEC","Initial","<5","Beef",140.042851434718,60.3779030302644,306.938761180204
"212","Cases","STEC","Initial","<5","Dairy",60.6697326553814,26.1027449066852,134.250481899751
"213","Cases","STEC","Initial","<5","Eggs",1.25999136717045,0.434207433555113,3.35625933072521
"214","Cases","STEC","Initial","<5","Fin fish",0,0,0
"215","Cases","STEC","Initial","<5","Fruit",17.0305833709923,7.29555388567458,37.4904386752188
"216","Cases","STEC","Initial","<5","Lamb",27.3011111307107,11.7676068025797,60.0112480721256
"217","Cases","STEC","Initial","<5","Nuts",0,0,0
"218","Cases","STEC","Initial","<5","Other",15.8795805778588,6.69948242770862,35.8470083776157
"219","Cases","STEC","Initial","<5","Pork",30.0406947559321,12.9481617510224,65.8706864865008
"220","Cases","STEC","Initial","<5","Poultry",17.0290590040954,7.28714049704615,37.5016467474577
"221","Cases","STEC","Initial","<5","Seeds and grains",17.0234873534948,7.30542197158739,37.5065648013961
"222","Cases","STEC","Initial","<5","Shellfish",0,0,0
"223","Cases","STEC","Initial","<5","Vegetables",80.0335621709096,34.43571203242,175.483326735418
"224","Cases","STEC","Initial","<5","AllFood",405.4454060686,174.8587217906,887.647524431056
"225","Cases","STEC","Initial","5-64","Beef",610.179080654324,263.071859687295,1337.35930963545
"226","Cases","STEC","Initial","5-64","Dairy",264.343387155761,113.731966512694,584.94121466226
"227","Cases","STEC","Initial","5-64","Eggs",5.48989374449321,1.89188016314734,14.6235185293558
"228","Cases","STEC","Initial","5-64","Fin fish",0,0,0
"229","Cases","STEC","Initial","5-64","Fruit",74.2037569062431,31.7873730591679,163.34915470381
"230","Cases","STEC","Initial","5-64","Lamb",118.95335406209,51.272502857076,261.474311629808
"231","Cases","STEC","Initial","5-64","Nuts",0,0,0
"232","Cases","STEC","Initial","5-64","Other",69.1887360112125,29.1902370361593,156.188583651182
"233","Cases","STEC","Initial","5-64","Pork",130.889962040916,56.4162851046013,287.004402656987
"234","Cases","STEC","Initial","5-64","Poultry",74.1971151049504,31.7507151813406,163.397989265121
"235","Cases","STEC","Initial","5-64","Seeds and grains",74.1728389308621,31.8303691816291,163.419417660788
"236","Cases","STEC","Initial","5-64","Shellfish",0,0,0
"237","Cases","STEC","Initial","5-64","Vegetables",348.713303725476,150.039440745135,764.596363760091
"238","Cases","STEC","Initial","5-64","AllFood",1766.56146740759,761.874904813084,3867.55871401913
"239","Cases","STEC","Initial","65+","Beef",159.028711917799,68.5634436090922,348.550999412398
"240","Cases","STEC","Initial","65+","Dairy",68.8948370997728,29.6415408391203,152.451060458546
"241","Cases","STEC","Initial","65+","Eggs",1.43081065613742,0.493073713909575,3.81127342637789
"242","Cases","STEC","Initial","65+","Fin fish",0,0,0
"243","Cases","STEC","Initial","65+","Fruit",19.3394500965308,8.28462520778195,42.5730846713912
"244","Cases","STEC","Initial","65+","Lamb",31.0023717209552,13.3629623575734,68.147080580821
"245","Cases","STEC","Initial","65+","Nuts",0,0,0
"246","Cases","STEC","Initial","65+","Other",18.0324037908424,7.60774327343002,40.7068515814692
"247","Cases","STEC","Initial","65+","Pork",34.1133656106586,14.703567257257,74.8008935677277
"248","Cases","STEC","Initial","65+","Poultry",19.3377190684804,8.27507120097092,42.585812242081
"249","Cases","STEC","Initial","65+","Seeds and grains",19.3313920592171,8.29583112779665,42.5913970454105
"250","Cases","STEC","Initial","65+","Shellfish",0,0,0
"251","Cases","STEC","Initial","65+","Vegetables",90.8838557044519,39.1042232601272,199.273916004152
"252","Cases","STEC","Initial","65+","AllFood",460.412366782858,198.564632246971,1007.98749097949
"253","Cases","STEC","Haemolytic uremic syndrome","<5","Beef",4.15980795698566,1.57915774185143,10.4683999900266
"254","Cases","STEC","Haemolytic uremic syndrome","<5","Dairy",1.80466408693303,0.683578057362555,4.58152522301427
"255","Cases","STEC","Haemolytic uremic syndrome","<5","Eggs",0.0374139362111155,0.011649534724523,0.111742804430061
"256","Cases","STEC","Haemolytic uremic syndrome","<5","Fin fish",0,0,0
"257","Cases","STEC","Haemolytic uremic syndrome","<5","Fruit",0.505686714027561,0.191146200359646,1.27922843713623
"258","Cases","STEC","Haemolytic uremic syndrome","<5","Lamb",0.810825235754913,0.307533931632865,2.04716791157669
"259","Cases","STEC","Haemolytic uremic syndrome","<5","Nuts",0,0,0
"260","Cases","STEC","Haemolytic uremic syndrome","<5","Other",0.472664763138249,0.175979867845822,1.21966626220518
