"","Pathogen","AgeGroup","Disease","CostCategory","median","5%","95%"
"627","Toxoplasma gondii","<5","All Diseases","FrictionHigh",473475.670454249,163774.190598005,1047912.97986028
"628","Toxoplasma gondii","<5","All Diseases","FrictionLow",177553.376420344,61415.3214742518,392967.367447605
"629","Toxoplasma gondii","<5","All Diseases","HumanCapital",591844.588067812,204717.738247506,1309891.22482535
"630","Toxoplasma gondii","<5","All Diseases","WTP",151422.032076803,62105.4573828182,283138.512839691
"631","Toxoplasma gondii","<5","Toxoplasmosis","Deaths",64324.8548102815,545.559491822443,640631.132092986
"632","Toxoplasma gondii","<5","Toxoplasmosis","Direct",167351.932359037,87730.3053350031,276285.821239997
"633","Toxoplasma gondii","<5","Toxoplasmosis","FrictionHigh",473475.670454249,163774.190598005,1047912.97986028
"634","Toxoplasma gondii","<5","Toxoplasmosis","FrictionLow",177553.376420344,61415.3214742518,392967.367447605
"635","Toxoplasma gondii","<5","Toxoplasmosis","HumanCapital",591844.588067812,204717.738247506,1309891.22482535
"636","Toxoplasma gondii","<5","Toxoplasmosis","WTP",151422.032076803,62105.4573828182,283138.512839691
"637","Toxoplasma gondii","5-64","All Diseases","Deaths",2469276.5800458,825720.29442988,6228419.18889856
"638","Toxoplasma gondii","5-64","All Diseases","Direct",1701569.93281541,854753.084264842,2827490.15169642
"639","Toxoplasma gondii","5-64","All Diseases","FrictionHigh",3290939.50493213,1377697.75822608,5924946.30752388
"640","Toxoplasma gondii","5-64","All Diseases","FrictionLow",1234102.31434955,516636.659334781,2221854.86532145
"641","Toxoplasma gondii","5-64","All Diseases","HumanCapital",4113674.38116516,1722122.1977826,7406182.88440484
"642","Toxoplasma gondii","5-64","All Diseases","WTP",684917.826763141,292471.241005908,1208765.73088612
"643","Toxoplasma gondii","5-64","Toxoplasmosis","Deaths",2469276.5800458,825720.29442988,6228419.18889856
"644","Toxoplasma gondii","5-64","Toxoplasmosis","Direct",1701569.93281541,854753.084264842,2827490.15169642
"645","Toxoplasma gondii","5-64","Toxoplasmosis","FrictionHigh",3290939.50493213,1377697.75822608,5924946.30752388
"646","Toxoplasma gondii","5-64","Toxoplasmosis","FrictionLow",1234102.31434955,516636.659334781,2221854.86532145
"647","Toxoplasma gondii","5-64","Toxoplasmosis","HumanCapital",4113674.38116516,1722122.1977826,7406182.88440484
"648","Toxoplasma gondii","5-64","Toxoplasmosis","WTP",684917.826763141,292471.241005908,1208765.73088612
"649","Toxoplasma gondii","65+","All Diseases","Deaths",1597913.55389228,433802.606419958,4654411.25100469
"650","Toxoplasma gondii","65+","All Diseases","Direct",452938.695307393,187540.174542727,828448.362494145
"651","Toxoplasma gondii","65+","All Diseases","FrictionHigh",59086.5778219381,15273.932672975,292054.851647147
"652","Toxoplasma gondii","65+","All Diseases","FrictionLow",22157.4666832268,5727.72475236563,109520.56936768
"653","Toxoplasma gondii","65+","All Diseases","HumanCapital",73858.2222774227,19092.4158412188,365068.564558934
"654","Toxoplasma gondii","65+","All Diseases","WTP",31137.6925975096,14212.5832839482,54065.9248934607
"655","Toxoplasma gondii","65+","Toxoplasmosis","Deaths",1597913.55389228,433802.606419958,4654411.25100469
"656","Toxoplasma gondii","65+","Toxoplasmosis","Direct",452938.695307393,187540.174542727,828448.362494145
"657","Toxoplasma gondii","65+","Toxoplasmosis","FrictionHigh",59086.5778219381,15273.932672975,292054.851647147
"658","Toxoplasma gondii","65+","Toxoplasmosis","FrictionLow",22157.4666832268,5727.72475236563,109520.56936768
"659","Toxoplasma gondii","65+","Toxoplasmosis","HumanCapital",73858.2222774227,19092.4158412188,365068.564558934
"660","Toxoplasma gondii","65+","Toxoplasmosis","WTP",31137.6925975096,14212.5832839482,54065.9248934607
"661","Toxoplasma gondii","All Ages","All Diseases","Deaths",4496069.6301972,2050370.31725036,8983630.46481557
"662","Toxoplasma gondii","All Ages","All Diseases","Direct",2340694.76401157,1432045.51543491,3586536.20754733
"663","Toxoplasma gondii","All Ages","All Diseases","FrictionHigh",3907070.42888276,1616075.15628196,6900435.16824334
"664","Toxoplasma gondii","All Ages","All Diseases","FrictionLow",1465151.41083104,606028.183605737,2587663.18809125
"665","Toxoplasma gondii","All Ages","All Diseases","HumanCapital",4883838.03610345,2020093.94535246,8625543.96030418
"666","Toxoplasma gondii","All Ages","All Diseases","WTP",875372.622458956,371901.344591309,1540204.1332089
"667","Toxoplasma gondii","All Ages","Toxoplasmosis","Deaths",4496069.6301972,2050370.31725036,8983630.46481557
